Team,W,L,T,PCT,GB,Streak,Wks,PF,Back,PA,
DEVILS!!!,11,3,0,0.786,0,W1,2,2356.5,52.5,2043.6
Untouchables,10,4,0,0.714,1,W3,2,2201.0,208.0,2032.6
LyfeStylez,9,5,0,0.643,2,W2,2,2409.0,0.0,2171.2
Capital Punishment,8,6,0,0.571,3,L1,1,2345.6,63.4,2062.2
Supa Dawgz,8,6,0,0.571,3,W1,1,2242.4,166.6,1988.7
2-16 KnocKoutKingz,8,6,0,0.571,3,W1,0,2175.7,233.3,2070.5
Red Zone,8,6,0,0.571,3,L1,1,2128.8,280.1,2201.4
Replacement Killers ,8,6,0,0.571,3,L1,0,2112.6,296.4,2150.6
MB 20-20's,7,7,0,0.500,4,L2,2,2245.8,163.2,2169.2
Ohio Camel Clan,7,7,0,0.500,4,W2,0,1957.8,451.2,2065.2
Executioners,5,9,0,0.357,6,L2,0,1916.3,492.6,2117.2
Quiet Storm,4,10,0,0.286,7,L1,1,2098.8,310.2,2328.5
The Grim Reaper!!!,4,10,0,0.286,7,W1,1,1900.8,508.2,2137.7
1ST AND GOAL,1,13,0,0.071,10,L12,1,1618.2,790.8,2170.8
